Player,Solo score,Solo top1,Solo kd,Solo winRatio,Solo matches,Solo kills,Solo minutesPlayed
iam samael,1580427,220,1.0,1.5,14308,14147,70029
sammy494,312746,83,0.88,2.3,3600,3091,13277
d0rrk,189730,26,1.31,1.2,2209,2865,7877
危険を恐れて泣いてる,922945,40,0.82,0.5,7897,6424,41321
ᵀᵀⱽ LupiiNz,69747,10,0.84,0.6,1756,1464,3049
222 GaminG on FB,75710,9,0.97,2.5,361,342,3562
NotsKaiky,874581,111,1.46,1.7,6537,9402,33095
wilaxx59,548766,21,0.75,0.7,2954,2192,27018
LamontNastyTTV,349033,60,1.4,2.0,2954,4041,15792
CooL 酷,3037531,438,1.4,2.2,20350,27804,115553
ℵℶ ℵℶℵ,2213094,91,1.34,0.4,25420,33854,74322
BØRRACHØ,323876,55,0.71,1.7,3264,2286,14783
OG-nutone76,143354,15,0.71,1.4,1071,755,6096
Bart LovesMajo,772379,129,1.23,2.5,5219,6275,32484
Batatinha_Chips,305462,21,0.96,1.4,1534,1446,13489
EssMGeeSprAY_TTV,1496525,68,0.87,0.6,12055,10449,67251
kokosinela,2606829,252,0.95,1.7,14963,13946,111625
Roger_Rabbitツ,133159,4,0.3,0.5,865,262,6608
zaviria,1835637,98,0.91,0.8,12362,11129,86633
ttvSomeSaucy,199022,30,1.19,2.0,1524,1773,8015
ᴰᵀ RISE oF AMIR,2346919,207,1.15,1.4,14429,16338,104420
DXR_R1pPeR ツ,413059,84,1.01,1.6,5117,5104,16896
JK BRaVE YT,330809,51,1.31,2.5,2008,2559,14318
adv dawinǃ,2345755,341,1.35,1.6,21802,28896,91853
N3W_ST4R_M3,859542,159,1.22,1.3,12576,15208,35373
evox x Liswe,1637092,104,0.69,0.7,14154,9640,75912
nɹǝԀ ɹǝpʍƎ,2731523,252,0.89,1.8,14269,12459,130027
SAVAGE 义,673901,64,1.1,1.2,5428,5874,26719
primal kcazzy,287561,28,1.31,1.3,2233,2886,11869
TTV cdogz12345,519871,152,0.91,2.2,6839,6107,21748
Lvstphoenix,342443,9,0.61,0.3,2873,1735,15843
RK Hysteria,634098,105,1.22,1.8,5747,6880,24935
Stefan -,716471,55,0.89,1.3,4259,3758,32131
استغفرالله ّ ّ,481074,22,0.75,0.3,8171,6129,20907
nugメ,971611,155,0.64,2.7,5678,3525,44370
UZB050,164537,17,0.72,1.2,1390,989,7574
Fen1x Recargado,1218493,78,0.57,1.1,7311,4153,56968
duokiller82,1798875,157,0.94,1.6,9937,9205,80297
DeskPopDave TTV,1220980,124,0.89,1.6,7521,6558,53346
juansit0_BEAT,441743,103,1.36,1.3,7954,10652,17408
zbrore,2053725,182,1.2,1.2,14748,17548,87314
娜勒杰迪诶迪勒,519443,62,0.94,1.2,5068,4690,22984
Hazardous Logic,429303,25,1.34,1.2,2166,2878,19433
GEIL MaXiGuM,44567,4,1.14,0.9,425,481,1798
GeneralMarkan,1330102,66,0.4,0.7,9404,3774,63125
C.p_98,570415,77,1.01,1.5,5243,5211,24936
KingFlippurPlays,488745,59,1.09,1.9,3116,3323,20486
Dom only,1679934,155,1.16,1.4,11377,12983,68088
PewLookAlike,101486,7,0.44,0.5,1331,587,5166
Fivaxe,1753631,173,1.33,1.4,12242,15999,73168
Frank372,2053098,30,0.94,0.1,23640,22265,79893
whoSavvy TTV,271199,31,1.1,1.0,3153,3438,11156
verdu.,2217284,349,1.41,2.2,15577,21421,91800
CrAzZy GiRLツ,471294,73,1.07,1.3,5756,6071,19337
butchersdr,72720,17,1.32,2.0,868,1125,2980
MaCleanAR,574257,40,0.91,0.8,5109,4629,25779
EDCOMED,1665274,177,0.92,2.0,9004,8146,83480
Spary 69,1359115,186,0.97,2.8,6707,6296,58187
Mr_Foco_ ON IG,282493,25,0.77,0.9,2917,2239,12140
Nekkern88,2836067,307,0.84,2.4,12921,10587,134131
crazy noob21,737878,119,0.78,2.8,4237,3192,32246
Haitorii,298974,25,1.12,1.2,2163,2400,13657
StyxiΨ,207069,15,0.75,1.1,1320,985,9573
WraithFunky,1326908,126,1.37,1.9,6616,8906,54063
GayPrideGamer,629720,69,1.08,2.0,3475,3663,28043
bib_hop,43836,1,1.07,0.4,248,265,1911
KKILLER ANGEL,225146,9,0.7,0.5,1964,1368,10122
UwU Cthulhu,103389,19,0.95,1.7,1104,1026,4550
fat deg on kava,6929,3,0.95,2.8,108,100,311
Jano0o_o,68895,11,1.12,2.5,432,473,2907
hamadibkr11,1361366,153,1.08,1.9,7873,8322,58277
x2jordan. iwnl,483471,64,1.24,1.5,4266,5221,18315
Je2Any Bruce Lee,2086999,171,0.93,1.1,16152,14859,92016
Ninjassian,539506,92,1.17,2.0,4651,5340,21144
Betty Drillza,1699152,128,0.87,1.1,11525,9863,74110
SuperBambiPanda,1034594,67,0.82,1.1,6200,5038,48188
Zara Coconut,255935,24,0.62,1.3,1813,1103,12063
two pay pau,470396,84,1.07,2.6,3202,3324,19603
Chugga626_TDG,3382617,299,0.92,2.0,15193,13730,159684
Twitch TritLive,1022342,53,1.2,0.5,11463,13696,43663
TROUBLE 凸-_-凸,298375,33,0.99,1.5,2201,2137,12848
sky133801,554354,24,1.03,0.4,6106,6247,22566
کLegustک,942381,148,1.33,2.6,5639,7287,41355
лegaл ay лол,1100980,181,1.09,2.0,9195,9826,46487
Serious Hakid,114613,5,0.81,0.5,984,796,5000
Sahag_TheKing,578252,93,0.95,1.6,5987,5570,24786
PG.PETER,1826254,270,0.96,1.5,18393,17385,76812
TTV OTigreChino,1149428,214,1.21,2.6,8231,9731,47854
4R4G0R,446945,55,1.15,2.1,2568,2881,18964
mattG3llo_twtch,650982,72,0.8,0.8,9009,7144,26777
monkey D brg,966522,124,1.09,1.7,7433,7965,42196
BotieL,701606,68,1.3,1.5,4459,5730,30718
Soy malarda,319024,19,0.7,0.4,4246,2939,14345
G o l d P r o,261820,38,1.19,1.9,1981,2311,10969
LukeShots,3460801,591,1.15,2.8,21096,23615,141823
