Player,Solo score,Solo top1,Solo kd,Solo winRatio,Solo matches,Solo kills,Solo minutesPlayed
CONANIZED,502448,55,1.24,2.8,1948,2340,21423
GW_Lettuce,390041,249,4.59,18.8,1327,4947,15228
Daddy Skipps,10630,2,0.26,1.4,141,36,489
lamprosokiller,410731,80,0.52,4.0,1977,982,19601
Jo zo,286421,78,2.09,2.8,2760,5603,10639
ZealousPumpkinTV,119937,46,1.48,2.8,1637,2354,4555
REBEL ARMY CINC,158063,4,0.43,0.5,800,341,7814
Y_modab_A,66640,16,0.99,4.3,371,350,3125
NRG NoMercys-,293429,17,0.63,0.8,2108,1321,13189
ᵀʷᶦᵗᶜʰ AlexayFTN,184850,50,2.1,3.8,1326,2683,7051
woow.919,240523,138,3.15,14.2,969,2621,7678
Λ Fighter Λ,139318,9,1.06,1.1,840,883,5938
windinhishair,174754,44,1.55,4.2,1039,1540,8883
Ƶ Ø M Ƀ Ɨ Ɨ 67,51476,4,1.28,1.5,260,328,2291
ZeZ_Chimpanezz,444971,251,2.87,11.4,2195,5574,15656
S.P.D Emergency,234385,41,0.88,1.6,2490,2147,10415
Sleptt,158059,27,1.41,2.0,1352,1873,6574
nоsh ӝ,217232,76,2.06,4.3,1764,3476,9058
DonHyena,156500,84,1.63,8.0,1054,1582,6093
TTV.SkellySkillz,157584,40,2.1,3.5,1128,2281,6134
Santigold-,241888,38,1.25,2.5,1518,1848,10217
Donsuki,346619,51,1.45,1.8,2768,3943,13190
MastaSel,179753,86,1.78,3.5,2451,4202,6955
Fredator_,172464,29,0.98,1.9,1518,1452,6896
Twitch Princeps,545946,256,2.64,12.1,2109,4888,21633
はぴはむ_ぱぱ,682101,353,4.27,16.8,2099,7460,22503
Apulze,445857,155,2.94,9.1,1695,4534,16656
リロードくん,529956,126,1.97,5.7,2223,4129,20530
TheDoobieDude,84038,17,1.8,3.4,495,862,3342
ᵀʷᶦᵗᶜʰ Bala_Seca,371013,52,1.5,2.1,2490,3658,15924
Macman on Switch,190991,39,1.15,4.2,924,1016,7964
ShockΖ,226477,58,2.58,4.2,1370,3379,8013
ItsMichaelaa,96408,5,0.55,0.5,1068,582,4308
Shahonti,79280,28,1.11,8.8,320,325,3369
Lei Ya,224662,38,0.86,2.8,1365,1143,10353
Der-Unwendige,34889,25,1.72,2.7,931,1555,1272
1iAmANiNja1,102283,7,1.27,1.0,684,863,4218
ASSA6644,192033,20,1.23,1.3,1561,1891,7798
Thorp sama,265885,179,2.71,11.0,1633,3946,10379
FlowerPower44291,352241,89,2.45,6.9,1298,2961,13282
iroken22,45214,14,1.18,4.2,332,375,1841
ꓘush,125252,12,1.32,1.5,800,1037,5076
BabyFaceCro,274355,55,1.13,2.3,2426,2677,11502
YouTubeZinnPanda,111658,47,2.2,5.5,859,1789,3994
Barnabas6002,298116,20,0.64,1.8,1103,689,14021
Supew Hess,240015,54,2.13,4.3,1251,2555,8688
Vipinchanu,295060,86,1.76,7.2,1191,1947,11411
Youtube Fredde1x,360460,186,1.14,11.2,1658,1680,15175
VYA_HECTOR_93,298972,29,1.04,2.0,1474,1504,12927
TSN_Maryan21,81117,38,1.75,4.3,885,1483,2886
LuckySnorlax,151539,78,1.44,3.9,1975,2725,5639
Martin MC_Fly,352743,34,1.08,1.7,1988,2102,15923
Operator لTF2,29508,1,0.59,0.5,196,115,1361
sneakynav,148245,29,1.31,1.8,1648,2124,5626
Wilder_Beast96,159085,57,1.83,2.5,2267,4039,5737
FA Fr1xioN,336912,238,3.85,8.7,2737,9631,10451
underPressureL,171537,39,1.24,4.4,888,1050,7844
K3MBO.,14571,40,2.98,13.4,299,773,526
sugu cc,151982,31,1.21,1.5,2020,2408,6361
Back 2 da lobby,493489,238,2.6,10.6,2248,5228,18457
Cutie π,214031,97,1.67,6.0,1616,2530,9491
fungllll,28922,49,2.47,6.1,804,1862,1124
Dvourz ay лол,198039,163,4.56,16.0,1016,3887,6554
BM_BlackMamba_hd,73417,14,0.87,2.1,664,568,3166
mzamra,80796,44,1.66,8.4,522,792,3141
Mintie-,102621,5,0.93,0.8,617,570,4520
